group,id,course,trimester,grade
1,8,Art and Symbolism,1,5.5
1,8,Art and Symbolism,1,4
1,8,Art and Symbolism,1,13
1,8,Astronomy and Celestial Navigation,2,13
1,8,Astronomy and Celestial Navigation,2,12
1,8,Astronomy and Celestial Navigation,2,12
1,8,Astronomy and Celestial Navigation,2,13
1,8,Environmental Stewardship,2,13.25
1,8,Environmental Stewardship,2,15.25
1,8,Environmental Stewardship,2,6.75
1,8,Herbalism and Medicine,2,14.25
1,8,Herbalism and Medicine,2,9.75
1,8,Herbalism and Medicine,2,9.5
1,8,Hunting and Gathering Skills,3,12.5
1,8,Hunting and Gathering Skills,3,13.5
1,8,Hunting and Gathering Skills,3,12.5
1,8,Hunting and Gathering Skills,3,11
1,8,Hunting and Gathering Skills,3,12.5
1,8,Hunting and Gathering Skills,3,16.5
1,8,Hunting and Gathering Skills,3,11.5
1,8,Language and Linguistics,3,10.1
1,8,Language and Linguistics,3,9.9
1,8,Language and Linguistics,3,9.8
1,8,Language and Linguistics,3,10.1
1,8,Shamanism and Spiritual Practices,3,5.5
1,8,Shamanism and Spiritual Practices,3,11
1,8,Shamanism and Spiritual Practices,3,7.5
1,8,Shamanism and Spiritual Practices,3,3
1,8,Shamanism and Spiritual Practices,3,12
1,8,Shamanism and Spiritual Practices,3,14
1,8,Shamanism and Spiritual Practices,3,3.5
1,8,Shamanism and Spiritual Practices,3,10
1,8,Shamanism and Spiritual Practices,3,17
1,8,Shamanism and Spiritual Practices,3,9
1,8,Social Organization and Governance,1,18
1,8,Social Organization and Governance,1,14
1,8,Social Organization and Governance,1,14
1,8,Social Organization and Governance,1,14
1,8,Social Organization and Governance,1,13
1,8,Social Organization and Governance,1,15
1,8,Social Organization and Governance,1,12
1,8,Social Organization and Governance,1,12
1,8,Tribal Lore and Traditions,2,12.25
1,8,Tribal Lore and Traditions,2,18.5
1,8,Tribal Lore and Traditions,2,17
1,8,Tribal Lore and Traditions,2,14.75
1,8,Tribal Lore and Traditions,2,17.25
1,8,Warfare and Diplomacy,3,10.5
1,8,Warfare and Diplomacy,3,13.75
1,8,Warfare and Diplomacy,3,14
1,8,Warfare and Diplomacy,3,13.5
1,8,Warfare and Diplomacy,3,12
1,43,Art and Symbolism,1,11.5
1,43,Art and Symbolism,1,7.5
